Identifier,Author,Title,Display Template,Object Location,Date,Date Type,Subject Scheme,Subject,Rights,Rights Statement,Language,DOI,Department,Institution,Degree,Thesis Degree Level
objectid,dc:creator,dc:title,display_template,object_location,dc:date,datacite:dateType,datacite:subjectScheme,dc:subject,dc:rights,rightsstatement,dc:language,datacite:identifier,datacite:affiliation,dc:publisher,etd-ms:thesis.degree.name,etd-ms:thesis.degree.level
367be2f6-06b2-45d4-b643-23fc1ec1a0f3,Joseph DiGioia,"The ""New"" new typography?: A Critical view of the state of typography",pdf,https://scholarworks.rit.edu/context/theses/article/7258/viewcontent/JDiGioaThesis05_1995.pdf,1995-05-11,Accepted,LCSH,Graphic design (Typography)--History,2 Publicly accessible,,eng,,Department of Graphic Design,Rochester Institute of Technology,Master of Fine Arts,1
c47cb9a1-3765-4e5f-83e7-70cefc8dfebd,Ana Sofia Milharadas de Soto Almeida,Type Gym: typography interactive training ,pdf,https://estudogeral.uc.pt/bitstream/10316/96020/1/typegym_typography_interactive_training.pdf,2021-09,Accepted,LCSH,Graphic design (Typography),2 Publicly accessible,,por,,Departamento de Engenharia Informática,Universidade de Coimbra,Mestrado em Design e Multimédia,1
28407b1f-7687-4bcf-b12f-1867fcd0cd9e,Vinicius Freitas da Silva Guimarães,Tipografia pintada no Centro do Rio de Janeiro,pdf,https://www.bdtd.uerj.br:8443/bitstream/1/9091/1/Vinicius%20Freitas%20da%20Silva%20Guimaraes_parcial.pdf,2011-09-09,Accepted,LCSH,Graphic design (Typography); Rio de Janeiro (Brazil)--History,2 Publicly accessible,,por,,Escola Superior de Desenho Industrial,Universidade do Estado do Rio de Janeiro,Mestrado em Design,1
5601cd05-6a73-4faa-93af-a5acaa65e036,Ellyn E. Duncan,A Study on the Visual and Verbal Languages of Typography,pdf,https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=3337&context=etd,2020-07,Accepted,LCSH,Graphic design (Typography); Visual communication,2 Publicly accessible,,eng,,Jack N. Averitt College of Graduate Studies,Georgia Southern University,Master of Fine Arts,1
4d1ec76d-f5fa-44dc-b478-45cd89f80d5a,Sebastian Keoma Reyes Roldán,La influencia de los sesgos cognitivos en la utilización de la tipografía digital: Presencia de sesgos cognitivos en el proceso de selección tipográfica,pdf,https://repositorio.unal.edu.co/bitstream/handle/unal/80144/Tesis%20Sebastian%20Reyes%20_%2024%20_%2006%20_21.pdf,2021,Accepted,LCSH,Web typography; Branding (Marketing),2 Publicly accessible,http://creativecommons.org/licenses/by-nc-sa/4.0/,spa,,Escuela de Diseño industrial & Escuela de Diseño Gráfico,Universidad Nacional de Colombia,Maestría en Diseño,1
9f15fc8d-7417-4fa8-9f90-83bbc9932da2,Basma Almusallam,Developing an Arabic Typography course for Visual Communication Design Students in the Middle East and North African Region,pdf,http://rave.ohiolink.edu/etdc/view?acc_num=kent1397011962,2014-05,Accepted,LCSH,Graphic design (Typography); Visual communication,2 Publicly accessible,,eng,,"School of Visual Communication Design, College of Communication and Information ",Kent State University ,Master of Fine Arts ,1
601c6e18-47ab-4a5b-857d-f820fd24e52d,Brittany D. Strozzo,Reflip Type: Developing Visual Strategies for Teaching Typography to Collegiate Students with Dyslexia,pdf,https://digitalcommons.liberty.edu/masters/812/,2021-12,Copyrighted,LCSH,"Dyslexia; Graphic design (Typography); Education, Higher;",2 Publicly accessible,,eng,,"School of Communication and the Arts, Department of Studio and Digital Arts ",Liberty University ,Master of Fine Arts ,1
caddbac2-87a4-48de-af6f-0aef5b3941c4,Jose Roberto D'Elboux ,Tipografia como elemento arquitetônico no Art Déco paulistano: uma investigação acerca do papel da tipografia como elemento ornamental e comunicativo na arquitetura da cidade de São Paulo entre os anos de 1928 a 1954,pdf,https://www.teses.usp.br/teses/disponiveis/16/16134/tde-10092013-093443/pt-br.php,2013-06-28,Submitted,LCSH,Art deco (Architecture)--1928-1954--Sao Paulo; Typography (Architecture) -- Sao Paulo  ,2 Publicly accessible,,por,doi.org/10.11606/D.16.2013.tde-10092013-093443,Faculdade de Arquitetura e Urbanismo ,Universidade de Sao Paulo ,Mestre em Arquitetura e Urbanismo,1
8649fb10-5bcd-42f5-9661-7371faf640cf,Penny Dorfman,Some visual elements in typography: a study using original works,pdf,https://dr.lib.iastate.edu/handle/20.500.12876/80888,1978,Copyrighted,LCSH,Art deco (Architecture); Signs and signboards--Lettering; Graphic design (Typography);,2 Publicly accessible,,eng,doi.org/10.31274/rtd-180813-7565,"Applied Art Department, College of Design",Iowa State University,Master of Arts ,1
7216f623-a7ec-41a0-b25b-47f44f7b0d30,Peter Sungil Cho ,"Pliant type : development and temporal manipulation of expressive, malleable typography",pdf,http://hdl.handle.net/1721.1/10553,1997-05-09,Submitted,LCSH,Mechanical engineering,1 Limited public access,,eng,,Department of Mechanical Engineering,Massachusetts Institute of Technology,Bachelor of Science,0
5714fef7-cb7b-4ee7-a4c0-02b24bff6f91,Mallaa Ali Alamoudi,Encouraging Ethical Behaviour through Design,pdf,http://hdl.handle.net/10315/32695,2016-11-25,Copyrighted,LCSH,"Social Responsibility; Graphic design (Typography); Calligraphy, Arabic",2 Publicly accessible,,eng,,Faculty of Graduate Studies,York University,Master of Design,1
bed4e759-0abf-4658-86c4-af84c310729e,Joyce Sheau Roei Yee,Developing a practice-led framework to promote the practise and understanding of typography across different media ,pdf,http://nrl.northumbria.ac.uk/id/eprint/1122,2006-10,Accepted,LCSH,Design--Study and teaching,2 Publicly accessible,,eng,,"Arts, Designs, and Social Sciences",Northrumbia University,Doctor of Philosophy,2
6ed6ac9e-2692-48a3-aa05-954b87bbde24,Adam Mackenzie Smith,Architecture and Typography: The Space Beyond the Text,pdf,http://hdl.handle.net/10222/13369,2011-04-15,Submitted,LCSH,Architecture; Graphic design (Typography),2 Publicly accessible,,eng,,School of Achitecture,Dalhousie University,Master of Architecture,1
ebaaff13-d7a7-47b3-a315-17ae4461da6c,Stephanie Zelman,"Letterforms, cultural forms : the interplay between graphic design, western culture and communications technologies since mid-century",pdf,https://escholarship.mcgill.ca/concern/theses/dn39x326p,2022-05-05,Available,LCSH,Graphic design (Typography),2 Publicly accessible,,eng,,Department of Art History and Communication Studies,McGill University ,Master of Arts ,1
b57b96ca-4107-4b89-8685-eeddd989dc9b,Napawan Sawasdichai,Typeface design for a Thai context: An English typface with Thai stylistic considerations,pdf,https://scholarworks.rit.edu/cgi/viewcontent.cgi?article=5742&context=theses,1999-05-01,Available,LCSH,Thai type--Design; Type and type-founding,2 Publicly accessible,,eng,,School of Design (CIAS),Rochester Institute of Technology,Master of Fine Arts,1